iter	Logloss
120	0.4075566512
121	0.4066381608
122	0.4057150672
123	0.4051446677
124	0.4042376177
125	0.4034252845
126	0.4021961939
127	0.4011740486
128	0.4001374721
129	0.3994852649
130	0.3984219521
131	0.3974050074
132	0.3964343404
133	0.395170478
134	0.3937800428
135	0.3926768797
136	0.3917687637
137	0.3903182258
138	0.3897111123
139	0.388505856
140	0.3875675176
141	0.3866167308
142	0.385661365
143	0.3848377581
144	0.3841138691
145	0.3832431522
146	0.3824043451
147	0.3816161865
148	0.3807980948
149	0.3802885399
150	0.3793771669
151	0.37845178
152	0.377614715
153	0.3768434787
154	0.3760400728
155	0.3750975
156	0.3739161858
157	0.3728827475
158	0.3717588848
159	0.3708286923
160	0.370032041
161	0.3691465741
162	0.3683863428
163	0.367672928
164	0.3671740227
165	0.3663800132
166	0.3656368302
167	0.3650334463
168	0.3641151635
169	0.363262669
170	0.3625919588
171	0.3617116515
172	0.3611268519
173	0.3603694706
174	0.3596055735
175	0.358807992
176	0.3578478268
177	0.3566896435
178	0.355508216
179	0.3549916571
180	0.3545736757
181	0.3537053705
182	0.3532659648
183	0.3524699123
184	0.3518738631
185	0.3513258003
186	0.3504964735
187	0.3498365135
188	0.3492655108
189	0.348544199
190	0.348040078
191	0.347682389
192	0.346837461
193	0.3464847787
194	0.3458010136
195	0.3453348045
196	0.3444205564
197	0.3436471391
198	0.3432687487
199	0.3427884958
200	0.3419994705
201	0.3413537177
202	0.3409650354
203	0.3402167129
204	0.3394820337
205	0.3387158893
206	0.337979388
207	0.3374019295
208	0.3368170045
209	0.3359278823
210	0.3354533352
211	0.3347174963
212	0.3342004736
213	0.3337137546
214	0.3332665773
215	0.3325875695
216	0.3321566723
217	0.331529215
218	0.3310311773
219	0.3303302106
220	0.3298838036
221	0.3296301767
222	0.3288511378
223	0.3283831405
224	0.3277813231
225	0.3269332141
226	0.3264777681
227	0.3258537746
228	0.3255523855
229	0.3250822449
230	0.3244611859
231	0.3240594596
232	0.323576952
233	0.3228911401
234	0.3223601422
235	0.3218677949
236	0.321560883
237	0.3211140877
238	0.3205164084
239	0.320042358
240	0.3194997456
241	0.3189611024
242	0.3187074441
243	0.3184223372
244	0.3179463814
245	0.3172607588
246	0.3166498129
247	0.3162209776
248	0.3159133659
249	0.3152495619
250	0.3148338287
251	0.3143804163
252	0.3142220095
253	0.3137817541
254	0.3135259034
255	0.3129679079
256	0.3126420267
257	0.3123429983
258	0.3119160494
259	0.3117291758
260	0.3111690051
261	0.31061422
262	0.3100696893
263	0.3096554076
264	0.3092323203
265	0.3087522401
266	0.3081992639
267	0.3078947429
268	0.3076622311
269	0.3073269022
270	0.3069619083
271	0.3067393646
272	0.3060397179
273	0.3056218781
274	0.3049749839
275	0.3044243688
276	0.3039661411
277	0.3035015629
278	0.3032119185
279	0.3028094199
280	0.3023249174
281	0.3021165531
282	0.3016548978
283	0.3013289543
284	0.3010433874
285	0.3007324307
286	0.3003560983
287	0.3000444757
288	0.2996752271
289	0.2991473224
290	0.2989526546
291	0.2983289832
292	0.2981785788
293	0.2976288411
294	0.2974020682
295	0.2969890343
296	0.2965318313
297	0.2960824878
298	0.2957985421
299	0.2951938376
300	0.2948051281
301	0.2944916762
302	0.2940715973
303	0.2938958904
304	0.2935058653
305	0.2930547822
306	0.2924758217
307	0.2922886435
308	0.2919638655
309	0.2917888767
310	0.2913250812
311	0.2911220025
312	0.2906955111
313	0.2903350269
314	0.289910243
315	0.2895469058
316	0.289374177
317	0.2892062512
318	0.2889984657
319	0.2885944979
320	0.2884280157
321	0.2882100131
322	0.2880874959
323	0.2876705287
324	0.2873203493
325	0.2869961282
326	0.2867566542
327	0.2861650521
328	0.2857388523
329	0.2853537791
330	0.2852025304
331	0.2847240144
332	0.2845229833
333	0.2843739396
334	0.2841883597
335	0.2837016195
336	0.2833588598
337	0.2831155182
338	0.2828511667
339	0.2822468289
340	0.2820296142
341	0.2820056282
342	0.2816977276
343	0.2814148361
344	0.2811947304
345	0.2808919725
346	0.2806129459
347	0.280448139
348	0.2800870783
349	0.2797605359
350	0.279591172
351	0.2794520401
352	0.2791581781
353	0.2786854338
354	0.2785464326
355	0.2783191327
356	0.2782494843
357	0.2779377628
358	0.277553123
359	0.2774949738
360	0.277191078
361	0.2769261296
362	0.2765992467
363	0.276354044
364	0.2761320426
365	0.2757113874
366	0.2755045559
367	0.2751225983
368	0.2748443283
369	0.2743844317
370	0.2742401267
371	0.2739278094
372	0.2735601439
373	0.2731141449
374	0.2728462194
375	0.2724121265
376	0.2720013498
377	0.271765267
378	0.2714111607
379	0.2709763277
380	0.270587545
381	0.2701880553
382	0.269975014
383	0.2697731717
384	0.2696438226
385	0.2693874236
386	0.2691080826
387	0.2688978355
388	0.2687126319
389	0.2683851453
390	0.2682839709
391	0.2680392242
392	0.2677343632
393	0.2673629288
394	0.2672780666
395	0.267076807
396	0.2667124548
397	0.2664924092
398	0.2664090652
399	0.2661892055
400	0.2660201238
401	0.2654091724
402	0.2650338176
403	0.26472416
404	0.2643816266
405	0.2640675866
406	0.2636257996
407	0.2633603371
408	0.2631185074
409	0.2627707984
410	0.2625168311
411	0.2623701513
412	0.2621556597
413	0.2618330863
414	0.2614916305
415	0.2611637775
416	0.2609561566
417	0.2608454805
418	0.2607223277
419	0.2605844502
420	0.2601034538
421	0.2599975479
422	0.259973408
423	0.2596866852
424	0.2594307553
425	0.2590056229
426	0.2589202857
427	0.2588562725
428	0.2585592907
429	0.2583595961
430	0.2581485115
431	0.2580155024
432	0.2576559827
433	0.2573317424
434	0.2572582693
435	0.2570290812
436	0.2568564517
437	0.256612921
438	0.256402726
439	0.2561455338
440	0.2558441688
441	0.2556968443
442	0.2555616179
443	0.2553808248
444	0.2551597175
445	0.2549815205
446	0.2546276046
447	0.2544550813
448	0.2542235689
449	0.2538096335
450	0.2537509137
451	0.2534354806
452	0.2531840071
453	0.2527864136
454	0.2525881547
455	0.2524799737
456	0.2524144722
457	0.2522717607
458	0.2518672231
459	0.2516107663
460	0.2514327216
461	0.2511618752
462	0.2508488515
463	0.2505808435
464	0.2503014053
465	0.2500002344
466	0.2498257754
467	0.2496084942
468	0.2491949519
469	0.2488526308
470	0.2485290506
471	0.2483358862
472	0.2480299145
473	0.2478522048
474	0.2477421032
475	0.2475556561
476	0.247379851
477	0.2473218665
478	0.2470826745
479	0.2469783061
480	0.2468603402
481	0.2467248604
482	0.2465009266
483	0.2462625098
484	0.2460978545
485	0.2458669121
486	0.2455695133
487	0.24532414
488	0.245083887
489	0.2448846567
490	0.2446725269
491	0.2443457195
492	0.2441617824
493	0.2437022254
494	0.2436552902
495	0.2435489015
496	0.2432846927
497	0.2430888933
498	0.2428211371
499	0.2426907921
500	0.2425123679
501	0.2422370542
502	0.2420369138
503	0.2418082697
504	0.2417319744
505	0.2414981572
506	0.2413475133
507	0.2409153602
508	0.2408284615
509	0.2406689142
510	0.240318014
511	0.2401196544
512	0.2398941531
513	0.2395900634
514	0.2392681143
515	0.2389847735
516	0.2386597957
517	0.2384927983
518	0.2382183515
519	0.2379126374
520	0.237745267
521	0.2375655581
522	0.2373781734
523	0.2372184447
524	0.236970691
525	0.2369370869
526	0.2368369889
527	0.2365830527
528	0.2364598284
529	0.2364038013
530	0.2362630694
531	0.2361874404
532	0.2358799689
533	0.2357591888
534	0.2356752621
535	0.2354293687
536	0.2353940124
537	0.235260295
538	0.2351667973
539	0.2349984109
540	0.2348995609
541	0.2346628754
542	0.2343760551
543	0.2341275846
544	0.2340374786
545	0.2338827826
546	0.2336221117
547	0.2335571315
548	0.2332393184
549	0.2330769095
550	0.2329459974
551	0.2327519106
552	0.2326058694
553	0.2324483674
554	0.2321162502
555	0.2318896413
556	0.231738829
557	0.2315923899
558	0.2314345082
559	0.2311776016
560	0.2311324614
561	0.2310183993
562	0.2308016935
563	0.2306555902
564	0.2306200024
565	0.2304543581
566	0.2304062481
567	0.2302542953
568	0.2302083135
569	0.2300276398
570	0.2298022779
571	0.2296514234
572	0.2294948136
573	0.2293982824
574	0.2292512335
575	0.2289970967
576	0.2287644316
577	0.2284857248
578	0.2283782415
579	0.2281475369
580	0.2278979122
581	0.2278011501
582	0.2275407699
583	0.22740641
584	0.2271598032
585	0.227047839
586	0.2268856887
587	0.2267199679
588	0.2265718976
589	0.2263659901
590	0.2263497771
591	0.2261505339
592	0.225790942
593	0.2257012933
594	0.2255540527
595	0.2254171774
596	0.2252455413
597	0.2250742912
598	0.2249053825
599	0.2247457303
600	0.2246163378
601	0.2245786548
602	0.224446135
603	0.2243674726
604	0.2242549178
605	0.2241256903
606	0.2239789516
607	0.2238048913
608	0.223669278
609	0.2236046929
610	0.2234145465
611	0.2233722335
612	0.2231347283
613	0.2229352127
614	0.2227576564
615	0.2225441757
616	0.2224885852
617	0.2222402537
618	0.2221347011
619	0.2219010053
620	0.2216685933
621	0.2214800844
622	0.2214340092
623	0.221323384
624	0.2212271469
625	0.2210593103
626	0.2208767112
627	0.2206449429
628	0.220605795
629	0.2203339457
630	0.2200976772
631	0.2198916571
632	0.2197568729
633	0.2196590838
634	0.2196013521
635	0.2194338933
636	0.2190622497
637	0.2189319187
638	0.2187772582
639	0.2187191931
640	0.218651576
641	0.2184343467
642	0.2181907474
643	0.2180046854
644	0.217810328
645	0.217597377
646	0.2172839104
647	0.2170957752
648	0.2170107313
649	0.2168031645
650	0.2166235185
651	0.2164477268
652	0.2162201567
653	0.2160655364
654	0.2159788156
655	0.2157998185
656	0.2156000573
657	0.2154555935
658	0.2152962025
659	0.2150989971
660	0.2149679376
661	0.2148787356
662	0.2147493298
663	0.2145983423
664	0.2143625045
665	0.2140515168
666	0.2138525581
667	0.2136959124
668	0.2135302089
669	0.2133847911
670	0.2132895291
671	0.2131064767
672	0.2128799482
673	0.21267304
674	0.2124884301
675	0.2124127407
676	0.2123380256
677	0.2122763965
678	0.2121995604
679	0.2120638295
680	0.2119356031
681	0.2117942734
682	0.2117561835
683	0.2116724296
684	0.2115850494
685	0.2114601663
686	0.2113049486
687	0.2112995618
688	0.2112120582
689	0.2109727009
690	0.2108061164
691	0.2106540444
692	0.2105739158
693	0.2104430549
694	0.2101886909
695	0.2099818324
696	0.2098979798
697	0.2097275185
698	0.2095717405
699	0.2094560617
700	0.2092133621
701	0.2090624018
702	0.2088356035
703	0.2088160634
704	0.2085500739
705	0.2084029965
706	0.2082044507
707	0.2079096372
708	0.2077462816
709	0.207548895
710	0.2073625364
711	0.2071890084
712	0.2070646484
713	0.2069152861
714	0.2066572418
715	0.2065319442
716	0.2064949672
717	0.2063189029
718	0.2061799797
719	0.2060549875
720	0.2059047321
721	0.2057314712
722	0.2055526704
723	0.2054698361
724	0.2053972017
725	0.2053334835
726	0.2051450383
727	0.2050762321
728	0.2049731658
729	0.2048758134
730	0.2047908421
731	0.2046746152
732	0.2046086303
733	0.2045260067
734	0.2043165761
735	0.204038151
736	0.2038445271
737	0.2036748042
738	0.2035529581
739	0.203464641
740	0.2033110951
741	0.2031677898
742	0.2030622655
743	0.2029689201
744	0.2028774419
745	0.2026920078
746	0.2026519449
747	0.2025790479
748	0.2024481515
749	0.2022362979
750	0.2021277414
751	0.2019485995
752	0.2018805331
753	0.2017291243
754	0.2014795803
755	0.2013477884
756	0.2012451888
757	0.2010700981
758	0.2009771792
759	0.200864353
760	0.2007284327
761	0.2006290477
762	0.2004818308
763	0.2002077286
764	0.2000973952
765	0.2000468082
766	0.199991943
767	0.199881555
768	0.1997166361
769	0.1995767677
770	0.1995009111
771	0.1994033295
772	0.1992728171
773	0.1992159415
774	0.1991532648
775	0.1989199786
776	0.1987705264
777	0.198662634
778	0.1986266119
779	0.1983583931
780	0.1982129356
781	0.1980464573
782	0.1979072207
783	0.1977703313
784	0.1976852625
785	0.1975735816
786	0.1973689068
787	0.1971196341
788	0.1968910742
789	0.1966886208
790	0.1965098895
791	0.1964156437
792	0.1963573611
793	0.196203602
794	0.1960365231
795	0.1958800838
796	0.1957579483
797	0.1956291537
798	0.1955280258
799	0.1954904433
800	0.1953825811
801	0.1951966818
802	0.1950427348
803	0.1948682092
804	0.1947226234
805	0.1945061639
806	0.1942900373
807	0.1942033496
808	0.1940805331
809	0.1939423276
810	0.1938263726
811	0.1937092311
812	0.1936335991
813	0.1934899401
814	0.193270168
815	0.1931311598
816	0.1930645604
817	0.1929576672
818	0.1928297942
819	0.1927819106
820	0.1927461555
821	0.1926913889
822	0.1925423826
823	0.1923896252
824	0.1923327955
825	0.1921834641
826	0.1920454354
827	0.1919545469
828	0.1917578938
829	0.1916391579
830	0.1913154071
831	0.1912574763
832	0.1910257751
833	0.1908778101
834	0.1907913376
835	0.1907520713
836	0.1906903786
837	0.1905429073
838	0.1904149842
839	0.1903595389
840	0.1903068849
841	0.1901972827
842	0.1899651122
843	0.1897143313
844	0.1894722249
845	0.1893199357
846	0.1892162286
847	0.1891158406
848	0.1889286498
849	0.1888704472
850	0.1887930945
851	0.1887245991
852	0.1886127971
853	0.1884606224
854	0.1883598031
855	0.1882692652
856	0.1882487354
857	0.1881824692
858	0.1880980097
859	0.1879354806
860	0.1876419066
861	0.1875839538
862	0.1873929041
863	0.1872544001
864	0.1871325144
865	0.1868679452
866	0.1867193813
867	0.1866789938
868	0.1866132383
869	0.1863416301
870	0.1862272303
871	0.1861710179
872	0.1860522442
873	0.1860346252
874	0.1858312383
875	0.1857857511
876	0.1854856789
877	0.1852979873
878	0.18519128
879	0.1851232774
880	0.1850174237
881	0.1848126685
882	0.1847501792
883	0.1845759467
884	0.1844929999
885	0.1842792121
886	0.1841520267
887	0.1841027144
888	0.1839561166
889	0.1838527312
890	0.1837526659
891	0.1835685267
892	0.183531385
893	0.183491341
894	0.1834202534
895	0.1832517286
896	0.1830982315
897	0.1829737226
898	0.182885237
899	0.1828375669
900	0.1826937539
901	0.1826524154
902	0.1825792784
903	0.1824873381
904	0.182356746
905	0.182126083
906	0.1819814529
907	0.1818183137
908	0.1816805483
909	0.1815761392
910	0.1815228786
911	0.1814110823
912	0.1813698634
913	0.1812116794
914	0.1810354773
915	0.1808954123
916	0.1807833174
917	0.1806479978
918	0.1805969666
919	0.1804611661
920	0.1804150514
921	0.1802746256
922	0.1799896029
923	0.1798775689
924	0.1797580709
925	0.1797162866
926	0.1795804815
927	0.1793649644
928	0.179194507
929	0.1790967986
930	0.1789814616
931	0.1788010781
932	0.1786918642
933	0.1785924323
934	0.1784227093
935	0.1782890421
936	0.178182405
937	0.1779899866
938	0.1779356312
939	0.1778926731
940	0.1776633362
941	0.1775366389
942	0.1773899181
943	0.1772206801
944	0.1771981516
945	0.1769366328
946	0.1768368372
947	0.1767784913
948	0.176610754
949	0.1764958659
950	0.1763144721
951	0.1762602345
952	0.1760317732
953	0.1760189608
954	0.1758766407
955	0.1757080349
956	0.1755238772
957	0.1754182144
958	0.1752608169
959	0.1750615744
960	0.1750054956
961	0.1748322578
962	0.1747778868
963	0.1745736962
964	0.174475689
965	0.1743004982
966	0.1742076109
967	0.1741480723
968	0.1739991461
969	0.173876625
970	0.1737958507
971	0.1736972122
972	0.1736910301
973	0.1735889729
974	0.1734432389
975	0.1733308953
976	0.1731312938
977	0.1729679945
978	0.1727628928
979	0.1727329463
980	0.172549618
981	0.172411871
982	0.1723111289
983	0.1722145579
984	0.1720551876
985	0.1719410992
986	0.1718156094
987	0.1717144475
988	0.1716544337
989	0.1715792055
990	0.1714820755
991	0.171286112
992	0.1711374877
993	0.1710613847
994	0.1710433718
995	0.1709152024
996	0.1708364038
997	0.1707082823
998	0.1704828474
999	0.1704563692
